cell_id,lon,lat,DD35,HDW,tmax_mean,tmin_mean,tmean_mean,tmax_p95,tmin_p05,radn_mean,rain_sum,rain_p95,rh_mean,wind_mean,wind_p95,Yield_pred_t_ha,Fail
EGF_000455,35.45322265625,22.344873046875,373.245229294264,58.507601681743,34.2112253197547,18.8822794997101,26.5467524097324,40.9488721634388,9.37589430938623,26.9531494797248,3.64719694603995,0.00402097693494645,32.9792118736198,3.60303732659661,5.44050922020933,0.894803358660905,TRUE
EGF_000456,35.55322265625,22.344873046875,371.884882392995,58.2905621866451,34.197120937681,18.8692271415625,26.5331740396218,40.9359742608119,9.36519700456513,26.955610606196,3.66389939983561,0.00405113238514652,33.0161133088759,3.60352269385225,5.44112470500313,0.892482098962562,TRUE
EGF_000457,35.65322265625,22.344873046875,370.429607619738,58.0576125322174,34.1820575474157,18.8552632818553,26.5186604146355,40.9222114838403,9.35372236837359,26.9582412358752,3.68146875416022,0.00408271548458834,33.0555569161278,3.60401664005358,5.44171211458813,0.898467199218545,TRUE
EGF_000458,35.75322265625,22.344873046875,368.889201897143,57.810365529843,34.1661337023325,18.8404807470427,26.5033072246876,40.9076727293339,9.34154963942849,26.9610235110003,3.69981032123773,0.00411558166239483,33.0972864529836,3.60451728031216,5.44227188820004,0.915337210426077,TRUE
EGF_000459,35.85322265625,22.344873046875,350.724262594598,54.8416648505732,33.932917716976,18.6773573977431,26.3051375573595,40.7014390333927,9.24363583735494,26.9609452548492,5.09077860476989,0.0203045099285527,34.3735589148087,3.56367894218719,5.38628294247993,1.40197408265861,TRUE
EGF_000460,35.95322265625,22.344873046875,348.828525316844,54.5297399434722,33.9130359239305,18.6585435938074,26.2857897588689,40.683574537706,9.22826178910748,26.963883681915,5.12422224936163,0.0205220991837442,34.4347038054905,3.56359957945625,5.38571564480392,1.42605631142803,TRUE
EGF_000461,36.05322265625,22.344873046875,346.874516775089,54.2079876835942,33.8925497603201,18.6391758222395,26.2658627912798,40.665164755905,9.2124276191973,26.9669170766931,5.1585130939721,0.0207448048112208,34.4976326522154,3.56351068450142,5.3851099441871,1.43019280261743,TRUE
EGF_000462,36.15322265625,22.344873046875,344.87160712174,53.8779480932616,33.8715554437026,18.6193425817947,26.2454490127487,40.6462964603059,9.19620725173128,26.9700294723825,5.19351824157821,0.0209719500559365,34.5620728872315,3.56341189916698,5.38446791733105,1.43639884961578,TRUE
EGF_000463,36.25322265625,22.344873046875,342.828703288962,53.5410857857112,33.8501444994177,18.5991281480382,26.2246363237279,40.6270521799786,9.17967104414265,26.9732057348584,5.2291105502954,0.0212028800178223,34.627764522423,3.56330292904627,5.38379161789199,1.42041991696946,TRUE
EGF_000464,36.35322265625,22.344873046875,340.754208348467,53.1987833197214,33.8284033392938,18.5786121781102,26.203507758702,40.6075098215069,9.16288546061919,26.9764316291371,5.26516928125404,0.0214369653481554,34.6944613836775,3.56318354552272,5.38308307074176,1.4247907522585,TRUE
EGF_000465,36.45322265625,22.344873046875,338.655993154654,52.8523365578378,33.8064129659211,18.5578694301486,26.1821411980349,40.5877424031834,9.14591284141668,26.9796938645815,5.30158057742769,0.0216736051616855,34.761931996664,3.56305358649751,5.38234426715266,1.41659852559315,TRUE
EGF_000466,25.05322265625,22.444873046875,257.013866720137,39.282886680069,33.2315838355478,17.7574583641612,25.4945210998545,40.412288761559,7.94310435470658,27.0795201512117,1.91988275999274,0.00317545167787119,33.8404542038461,3.21819376318148,4.73910103670146,0.730772639652211,TRUE
EGF_000467,25.15322265625,22.444873046875,257.032569112884,39.286917299117,33.2325407526242,17.7583365092666,25.4954386309454,40.4123261628981,7.94286778902565,27.0813812261609,1.91623438632498,0.00314974309908166,33.8216088168341,3.21834838455301,4.73884995843654,0.730535135374829,TRUE
EGF_000468,25.25322265625,22.444873046875,257.05215810205,39.2908188693167,33.2335099739375,17.7591986136695,25.4963542938035,40.4123655384478,7.94262082026859,27.0832446659679,1.91249807680234,0.00312395964612633,33.8028012610406,3.21851226673422,4.73860761385551,0.73036132701137,TRUE
EGF_000469,25.35322265625,22.444873046875,257.072639909923,39.2945760907464,33.2344907123731,17.7600425357579,25.4972666240655,40.4124067780635,7.94236315759449,27.0851080939056,1.90867449039986,0.00309813152679475,33.7840590387513,3.21868568433743,4.73837480037973,0.73036132701137,TRUE
EGF_000470,25.45322265625,22.444873046875,257.094018084196,39.2981732870394,33.2354821315278,17.7608661049504,25.4981741182391,40.412449753391,7.94209452783938,27.0869690784709,1.90476452719998,0.0030722896239103,33.7654102727299,3.21886890101534,4.73815231556081,0.73036132701137,TRUE
EGF_000471,25.55322265625,22.444873046875,257.11629318953,39.3015944615206,33.23648334539,17.7616671319516,25.4990752386708,40.4124943169221,7.94181467801885,27.0888251425153,1.90076934680628,0.00304646538064835,33.7468835940689,3.21906216665276,4.73794095241824,0.718986564344639,TRUE
EGF_000472,25.65322265625,22.444873046875,257.139462498559,39.3048233604048,33.237493418153,17.7624434197643,25.4999684189587,40.4125403011807,7.94152337792761,27.0906737729131,1.89669038690643,0.00302069068010135,33.7285080223602,3.21926571440083,4.73774149451617,0.718986564344639,TRUE
EGF_000473,25.75322265625,22.444873046875,257.163519687989,39.3078435432101,33.2385113641916,17.7631927753931,25.5008520697924,40.4125875180774,7.94122042283523,27.0925124306865,1.89252938173136,0.00299499772016409,33.7103128391601,3.21947975757901,4.73755471081605,0.699628494807364,TRUE
EGF_000474,25.85322265625,22.444873046875,257.188454546065,39.310638460468,33.2395361482373,17.7639130221634,25.5017245852003,40.4126357584727,7.94090563627564,27.0943385614948,1.88828838012009,0.0029694188849028,33.6923274558698,3.21970448647507,4.73738135034775,0.699628494807364,TRUE
EGF_000475,25.95322265625,22.444873046875,257.214252698219,39.3131915387319,33.2405666857944,17.7646020125636,25.502584349179,40.4126847919877,7.94057887292643,27.0961496063937,1.88396976286424,0.00294398661364187,33.6745812772736,3.2199400650786,4.73722213674806,0.699628494807364,TRUE
EGF_000476,26.05322265625,22.444873046875,257.240895358085,39.3154862727867,33.2416018438394,17.7652576415094,25.5034297426744,40.4127343671027,7.94024002157155,27.0979430127585,1.87957625897487,0.00291873326904951,33.6571035620858,3.22018662778824,4.73707776272067,0.689709210544153,TRUE
EGF_000477,26.15322265625,22.444873046875,257.268359111344,39.3175063248508,33.2426404418513,17.7658778599125,25.5042591508819,40.4127842115824,7.93988900813734,27.0997162452658,1.87511096048773,0.002893691005525,33.6399232819368,3.22044427613745,4.73694888447675,0.689709210544153,TRUE
EGF_000478,26.25322265625,22.444873046875,257.296615739847,39.3192356304307,33.2436812532207,17.7664606884292,25.505070970825,40.4128340332622,7.93952579878809,27.1014667968253,1.87057733540408,0.00286889163918539,33.6230689802825,3.22071307558688,4.73683611621961,0.661315304909951,TRUE
EGF_000479,26.35322265625,22.444873046875,257.325632093326,39.3206585103445,33.2447230070862,17.7670042312524,25.5058636191693,40.4128835212269,7.93915040306231,27.1031921993541,1.8659792383532,0.00284436652071701,33.606568632746,3.22099305243508,4.73674002473976,0.657160367510884,TRUE
EGF_000480,26.45322265625,22.444873046875,266.090249146665,40.0205730980223,33.3605806953731,17.7676680345519,25.5641243649625,40.4801981104057,7.95819242960392,27.1257400221755,1.73023418181469,0.00189344592311116,33.4205596306151,3.25107762944141,4.74428637517373,0.6328164505205,TRUE
EGF_000481,26.55322265625,22.444873046875,266.139345126095,40.0217013083983,33.3615169446775,17.7677694180244,25.564643181351,40.4805028758703,7.95757540934181,27.126718297557,1.72633770709409,0.00187756718698368,33.4099006529099,3.25140459088237,4.74443712918038,0.6328164505205,TRUE
EGF_000482,26.65322265625,22.444873046875,266.191343218537,40.0226688275031,33.3624775175042,17.7678248895961,25.5651512035502,40.4808245334862,7.9569532344606,27.1276638059715,1.72237281176845,0.00186188931524065,33.3996859851048,3.25174951174461,4.74460822874313,0.6328164505205,TRUE
EGF_000483,26.75322265625,22.444873046875,266.246236112392,40.0234690273508,33.3634617790016,17.7678333951864,25.565647587094,40.4811630651223,7.95632638040271,27.1285748895876,1.71834408975006,0.00184642992081898,33.3899347287481,3.25211235500437,4.74479987689256,0.620371320653169,TRUE
EGF_000484,26.85322265625,22.444873046875,266.304007749819,40.0240959833916,33.3644690118396,17.7677940307278,25.5661315212837,40.4815184161989,7.9556953621153,27.1294499694441,1.71425656631433,0.00183120605575556,33.3806647978488,3.25249301842156,4.745012204772,0.619382750921669,TRUE
EGF_000485,26.95322265625,22.444873046875,266.364633300774,40.0245445665902,33.3654984176107,17.7677060519169,25.5666022347638,40.4818904966318,7.95506073587047,27.1302875525083,1.71011568731611,0.00181623415652829,33.3718928306976,3.25289133269292,4.74524526847515,0.619382750921669,TRUE
EGF_000486,27.05322265625,22.444873046875,266.428079215452,40.0248105331188,33.3665491189995,17.7675688829717,25.5670590009856,40.4822791821116,7.95442310088533,27.131086238219,1.70592730353425,0.00180152999458046,33.363634110546,3.25330706012735,4.74549904642617,0.619382750921669,TRUE
EGF_000487,27.15322265625,22.444873046875,266.494303353579,40.0248906099227,33.3676201627046,17.7673821242598,25.5675011434822,40.4826843156755,7.95378310066899,27.1318447244741,1.7016976500968,0.00178710863221438,33.355902495735,3.25373989387769,4.74577343735226,0.619382750921669,TRUE
